hb,cancer_site,sex,year,incidences_all_ages,hb_name
S08000015,All cancer types,All,1997,2019,Ayrshire and Arran
S08000015,All cancer types,All,1998,1958,Ayrshire and Arran
S08000015,All cancer types,All,1999,1967,Ayrshire and Arran
S08000015,All cancer types,All,2000,1942,Ayrshire and Arran
S08000015,All cancer types,All,2001,1990,Ayrshire and Arran
S08000015,All cancer types,All,2002,2043,Ayrshire and Arran
S08000015,All cancer types,All,2003,2141,Ayrshire and Arran
S08000015,All cancer types,All,2004,2184,Ayrshire and Arran
S08000015,All cancer types,All,2005,2125,Ayrshire and Arran
S08000015,All cancer types,All,2006,2111,Ayrshire and Arran
S08000015,All cancer types,All,2007,2195,Ayrshire and Arran
S08000015,All cancer types,All,2008,2308,Ayrshire and Arran
S08000015,All cancer types,All,2009,2346,Ayrshire and Arran
S08000015,All cancer types,All,2010,2384,Ayrshire and Arran
S08000015,All cancer types,All,2011,2328,Ayrshire and Arran
S08000015,All cancer types,All,2012,2449,Ayrshire and Arran
S08000015,All cancer types,All,2013,2599,Ayrshire and Arran
S08000015,All cancer types,All,2014,2521,Ayrshire and Arran
S08000015,All cancer types,All,2015,2588,Ayrshire and Arran
S08000015,All cancer types,All,2016,2479,Ayrshire and Arran
S08000015,All cancer types,All,2017,2512,Ayrshire and Arran
S08000015,All cancer types,All,2018,2607,Ayrshire and Arran
S08000015,All cancer types,All,2019,2515,Ayrshire and Arran
S08000015,All cancer types,All,2020,2379,Ayrshire and Arran
S08000015,All cancer types,All,2021,2672,Ayrshire and Arran
S08000015,All cancer types,Male,1997,953,Ayrshire and Arran
S08000015,All cancer types,Male,1998,908,Ayrshire and Arran
S08000015,All cancer types,Male,1999,964,Ayrshire and Arran
S08000015,All cancer types,Male,2000,956,Ayrshire and Arran
S08000015,All cancer types,Male,2001,942,Ayrshire and Arran
S08000015,All cancer types,Male,2002,1062,Ayrshire and Arran
S08000015,All cancer types,Male,2003,1064,Ayrshire and Arran
S08000015,All cancer types,Male,2004,1079,Ayrshire and Arran
S08000015,All cancer types,Male,2005,1052,Ayrshire and Arran
S08000015,All cancer types,Male,2006,1008,Ayrshire and Arran
S08000015,All cancer types,Male,2007,1096,Ayrshire and Arran
S08000015,All cancer types,Male,2008,1144,Ayrshire and Arran
S08000015,All cancer types,Male,2009,1196,Ayrshire and Arran
S08000015,All cancer types,Male,2010,1109,Ayrshire and Arran
S08000015,All cancer types,Male,2011,1142,Ayrshire and Arran
S08000015,All cancer types,Male,2012,1227,Ayrshire and Arran
S08000015,All cancer types,Male,2013,1271,Ayrshire and Arran
S08000015,All cancer types,Male,2014,1256,Ayrshire and Arran
S08000015,All cancer types,Male,2015,1245,Ayrshire and Arran
S08000015,All cancer types,Male,2016,1167,Ayrshire and Arran
S08000015,All cancer types,Male,2017,1210,Ayrshire and Arran
S08000015,All cancer types,Male,2018,1292,Ayrshire and Arran
S08000015,All cancer types,Male,2019,1243,Ayrshire and Arran
S08000015,All cancer types,Male,2020,1178,Ayrshire and Arran
S08000015,All cancer types,Male,2021,1334,Ayrshire and Arran
S08000015,All cancer types,Females,1997,1066,Ayrshire and Arran
S08000015,All cancer types,Females,1998,1050,Ayrshire and Arran
S08000015,All cancer types,Females,1999,1003,Ayrshire and Arran
S08000015,All cancer types,Females,2000,986,Ayrshire and Arran
S08000015,All cancer types,Females,2001,1048,Ayrshire and Arran
S08000015,All cancer types,Females,2002,981,Ayrshire and Arran
S08000015,All cancer types,Females,2003,1077,Ayrshire and Arran
S08000015,All cancer types,Females,2004,1105,Ayrshire and Arran
S08000015,All cancer types,Females,2005,1073,Ayrshire and Arran
S08000015,All cancer types,Females,2006,1103,Ayrshire and Arran
S08000015,All cancer types,Females,2007,1099,Ayrshire and Arran
S08000015,All cancer types,Females,2008,1164,Ayrshire and Arran
S08000015,All cancer types,Females,2009,1150,Ayrshire and Arran
S08000015,All cancer types,Females,2010,1275,Ayrshire and Arran
S08000015,All cancer types,Females,2011,1186,Ayrshire and Arran
S08000015,All cancer types,Females,2012,1222,Ayrshire and Arran
S08000015,All cancer types,Females,2013,1328,Ayrshire and Arran
S08000015,All cancer types,Females,2014,1265,Ayrshire and Arran
S08000015,All cancer types,Females,2015,1343,Ayrshire and Arran
S08000015,All cancer types,Females,2016,1312,Ayrshire and Arran
S08000015,All cancer types,Females,2017,1302,Ayrshire and Arran
S08000015,All cancer types,Females,2018,1315,Ayrshire and Arran
S08000015,All cancer types,Females,2019,1272,Ayrshire and Arran
